"b","selector","psi","lower","upper","PnEIC","sn"
1,"relax",3.05188181147933,2.91508182963928,3.18868179331938,-0.000254812118555553,0.0101039927274828
1,"min_var",3.03760192485571,2.90329929516901,3.17190455454241,-1.16783524724733e-05,0.00991953928197809
2,"relax",3.05431324287131,2.91727173308602,3.1913547526566,-6.12667143963141e-06,0.0101218318862997
2,"min_var",3.05454822150648,2.91932859309879,3.18976784991416,4.68450978435836e-06,0.00998726844599762
3,"relax",3.24026426441848,3.10642060416726,3.3741079246697,-4.68846841552029e-05,0.00988563998041465
3,"min_var",3.25678797081746,3.12468179564646,3.38889414598846,2.39721181328997e-05,0.00975731001736563
4,"relax",3.11675859997451,2.97626278980689,3.25725441014214,-0.000168374174342119,0.0103769651507359
4,"min_var",3.11607769276078,2.97798845390541,3.25416693161615,1.97604599147199e-05,0.0101992167423652
5,"relax",3.12580235511065,2.98485519262969,3.2667495175916,0.00151378699783781,0.0104103018546599
5,"min_var",3.15422603432208,3.0153013500637,3.29315071858046,-4.09881294350328e-05,0.0102609224104705
