"b","n","selector","psi","lower","upper","PnEIC","sn"
1,500,"relax",3.09242169575214,2.7842067385138,3.40063665299048,-0.000569586375126249,0.0253036919967904
1,500,"min_var",3.0850580583474,2.78472007573407,3.38539604096074,-0.000284094969551273,0.0246570117007929
1,500,"TMLE",3.06113329673598,2.87211049503193,3.25015609844003,-1.06581410364015e-16,NA
2,500,"relax",3.2879903758049,2.93228252863876,3.64369822297105,-0.000222146428666872,0.0292027417688667
2,500,"min_var",4.00516158880055,3.68147092448421,4.32885225311689,-0.000165959090724009,0.0265742095889374
2,500,"TMLE",3.35536245815866,3.03517720729921,3.67554770901811,-1.27453603226968e-16,NA
3,500,"relax",2.97824933614731,2.72199000787606,3.23450866441855,-0.00186150280267302,0.0210382622958357
3,500,"min_var",2.94877887403011,2.70565812834216,3.19189961971807,0.000153783325870287,0.0199596168921834
3,500,"TMLE",3.04822830522736,2.83889101727613,3.2575655931786,-2.72989963967518e-16,NA
4,500,"relax",3.1059070494175,2.80592515905964,3.40588893977535,0.000336223714009313,0.0246277774000445
4,500,"min_var",3.21255384680241,2.94278199223349,3.48232570137134,9.54797120182347e-05,0.0221476075612269
4,500,"TMLE",3.09252788434897,2.86796292960723,3.31709283909071,9.66782209843586e-16,NA
5,500,"relax",3.21925476335526,2.90249211424956,3.53601741246095,0.000491888517422244,0.026005436533243
5,500,"min_var",3.33426293353498,3.02144372945315,3.64708213761681,0.000102797138413228,0.0256816893693019
5,500,"TMLE",3.26436033189915,3.09132997734785,3.43739068645045,4.45865566689463e-16,NA
6,500,"relax",3.15130839700699,2.80938313502508,3.49323365898889,-1.9371309032965e-06,0.0280712253312922
6,500,"min_var",2.93849636142969,2.63153161307934,3.24546110978005,-2.93936773787149e-05,0.0252010529136108
6,500,"TMLE",3.11416923567866,2.89094491286356,3.33739355849377,4.45865566689463e-16,NA
7,500,"relax",2.94965831494331,2.64670332159287,3.25261330829376,-0.0006438203731545,0.0248718618632819
7,500,"min_var",2.98091275054544,2.68226451039927,3.27956099069161,0.000113351781442907,0.0245182879888548
7,500,"TMLE",2.82426145514823,2.50563941750841,3.14288349278804,4.09450251481758e-16,NA
8,500,"relax",3.03733230392098,2.68337774692627,3.3912868609157,-0.000116439434503399,0.0290588009462788
8,500,"min_var",3.08325358376265,2.74774841775683,3.41875874976846,-0.000129470624386661,0.0275441511989254
8,500,"TMLE",2.74716114838838,2.56928734776457,2.9250349490122,3.39728245535298e-16,NA
9,500,"relax",2.96559956872463,2.65209468997607,3.2791044474732,0.000633772651616631,0.0257379815776118
9,500,"min_var",3.00159446975708,2.70853053236943,3.29465840714473,1.29703919247426e-06,0.0240598304296096
9,500,"TMLE",2.98095877520543,2.80455047817515,3.1573670722357,-2.28261853862932e-16,NA
10,500,"relax",3.1302047672987,2.84130734447596,3.41910219012144,-0.00427959207610037,0.0237177698034956
10,500,"min_var",3.41735190177292,3.13903007621033,3.69567372733551,0.000123720854980356,0.0228495392083593
10,500,"TMLE",3.08826481590765,2.88926523247005,3.28726439934525,-4.38760139331862e-16,NA
