"","bias","n","b","est_name","psi","lower","upper"
"1","c",2000,1,"A-TMLE","4.17686624306589","3.99546779517468","4.3582646909571"
"2","c",2000,1,"SEQ-A-TMLE","4.13685386403674","3.97760063633462","4.29610709173886"
"3","c",2000,1,"ES-CVTMLE","4.16742629448466","3.98277525795691","4.35207733101242"
"4","c",2000,2,"A-TMLE","4.37463129540652","4.18609488563451","4.56316770517853"
"5","c",2000,2,"SEQ-A-TMLE","4.32722063433523","4.14252056517416","4.51192070349631"
"6","c",2000,2,"ES-CVTMLE","4.35125757027462","4.15718762616427","4.54532751438498"
"7","c",2000,3,"A-TMLE","4.29802397597903","4.10708999118645","4.48895796077161"
"8","c",2000,3,"SEQ-A-TMLE","4.28755284748016","4.10793382185342","4.46717187310689"
"9","c",2000,3,"ES-CVTMLE","4.28793299806979","4.0908835033675","4.48498249277208"
"10","c",2000,4,"A-TMLE","4.2225246326338","4.04481137293822","4.40023789232938"
"11","c",2000,4,"SEQ-A-TMLE","4.2398863330664","4.06890736899454","4.41086529713827"
"12","c",2000,4,"ES-CVTMLE","4.20757431905538","4.02530500550798","4.38984363260277"
"13","c",2000,5,"A-TMLE","4.27020227481977","4.08177240780352","4.45863214183602"
"14","c",2000,5,"SEQ-A-TMLE","4.25847199502503","4.0807845625196","4.43615942753046"
"15","c",2000,5,"ES-CVTMLE","4.22074019139722","4.0236119396804","4.41786844311405"
"16","c",2000,6,"A-TMLE","4.2271594888281","4.03138896936063","4.42293000829558"
"17","c",2000,6,"SEQ-A-TMLE","4.19801394747904","4.03117042615074","4.36485746880734"
"18","c",2000,6,"ES-CVTMLE","4.19499769518327","4.01087420654441","4.37912118382212"
"19","c",2000,7,"A-TMLE","4.29421873332371","4.09965063772728","4.48878682892013"
"20","c",2000,7,"SEQ-A-TMLE","4.27406186807609","4.08739621471455","4.46072752143763"
"21","c",2000,7,"ES-CVTMLE","4.27777238498159","4.07846890978785","4.47707586017533"
"22","c",2000,8,"A-TMLE","4.21441599975249","4.02795144312318","4.40088055638181"
"23","c",2000,8,"SEQ-A-TMLE","4.23240520628832","4.05830153238013","4.40650888019651"
"24","c",2000,8,"ES-CVTMLE","4.182680956335","3.9984194688886","4.3669424437814"
"25","c",2000,9,"A-TMLE","3.98613998257834","3.78839233785568","4.18388762730099"
"26","c",2000,9,"SEQ-A-TMLE","4.00867504897886","3.82104858844232","4.19630150951539"
"27","c",2000,9,"ES-CVTMLE","3.98333576632963","3.79366467135982","4.17300686129945"
"28","c",2000,10,"A-TMLE","4.11953883005794","3.93251814059369","4.3065595195222"
"29","c",2000,10,"SEQ-A-TMLE","4.07943071890956","3.91083555756719","4.24802588025194"
"30","c",2000,10,"ES-CVTMLE","4.11303467641167","3.93150265415082","4.29456669867252"
"31","c",2000,11,"A-TMLE","4.16158525032126","3.98971309387744","4.33345740676508"
"32","c",2000,11,"SEQ-A-TMLE","4.17768202080004","4.01183120560878","4.3435328359913"
"33","c",2000,11,"ES-CVTMLE","4.16327992225907","3.9930772329252","4.33348261159295"
"34","c",2000,12,"A-TMLE","4.19998857025302","4.01930306126605","4.38067407923998"
"35","c",2000,12,"SEQ-A-TMLE","4.23857312117019","4.07820239094299","4.39894385139739"
"36","c",2000,12,"ES-CVTMLE","4.20374298167317","4.0209306815746","4.38655528177174"
"37","c",2000,13,"A-TMLE","4.19811896208041","4.00536139455792","4.39087652960291"
"38","c",2000,13,"SEQ-A-TMLE","4.23151372470333","4.05142677316337","4.4116006762433"
"39","c",2000,13,"ES-CVTMLE","4.22946081969938","4.03505240885394","4.42386923054483"
"40","c",2000,14,"A-TMLE","4.20079245073406","4.01947748561102","4.3821074158571"
"41","c",2000,14,"SEQ-A-TMLE","4.19272134665889","4.02496254021314","4.36048015310464"
"42","c",2000,14,"ES-CVTMLE","4.19191588298078","4.00059114158983","4.38324062437173"
"43","c",2000,15,"A-TMLE","4.10829111949079","3.93856504182316","4.27801719715843"
"44","c",2000,15,"SEQ-A-TMLE","4.14078745566574","3.98268412876185","4.29889078256963"
"45","c",2000,15,"ES-CVTMLE","4.12273975538394","3.94198165896832","4.30349785179957"
"46","c",2000,16,"A-TMLE","4.15411014113093","3.96651670594286","4.34170357631899"
"47","c",2000,16,"SEQ-A-TMLE","4.16004617737262","4.00246352696387","4.31762882778136"
"48","c",2000,16,"ES-CVTMLE","4.14153668889566","3.96019800944231","4.322875368349"
"49","c",2000,17,"A-TMLE","4.19650697490652","4.01753665103401","4.37547729877903"
"50","c",2000,17,"SEQ-A-TMLE","4.16164782533677","4.0001210185703","4.32317463210324"
"51","c",2000,17,"ES-CVTMLE","4.16552357796898","3.9801103552116","4.35093680072635"
"52","c",2000,18,"A-TMLE","4.25607180152068","4.05228382767181","4.45985977536954"
"53","c",2000,18,"SEQ-A-TMLE","4.1994285542096","4.01001392657543","4.38884318184378"
"54","c",2000,18,"ES-CVTMLE","4.22142213262629","4.02917681694372","4.41366744830885"
"55","c",2000,19,"A-TMLE","4.07868444649985","3.89194420793496","4.26542468506473"
"56","c",2000,19,"SEQ-A-TMLE","4.07326805352697","3.91656857956894","4.22996752748499"
"57","c",2000,19,"ES-CVTMLE","4.0840676276575","3.89710119942326","4.27103405589174"
"58","c",2000,20,"A-TMLE","4.26933879266743","4.0865759854325","4.45210159990237"
"59","c",2000,20,"SEQ-A-TMLE","4.29927735953033","4.12666017397858","4.47189454508207"
"60","c",2000,20,"ES-CVTMLE","4.25606983761124","4.06691983878771","4.44521983643476"
